RPorSP	ASC	TT1	TT2	TC1	TC2	TT1SP	TT2SP	TC1SP	TC2SP	ITT1	ITT2	ATT1	ATT2	UTILERR1	UTILERR2	U1	U2	av1	av2	Choice
1	0.5	-2.100449582	1.334739696	1.131785414	-1.657491759	0	0	0	0	0.326555175	0.418609528	0.53965754	-0.72236938	0.735376347	1.056484822	3.332209064	-0.916592283	1	1	1
1	0.5	0.475024008	0.135874815	-1.310212115	0.432929675	0	0	0	0	0.212830768	0.238848327	-0.066066613	1.038196409	0.910485487	1.430266761	-0.519075591	1.123146252	1	1	0
1	0.5	0.722183942	-0.739638795	0.102172468	1.694263961	0	0	0	0	0.620968954	0.281053142	-0.207086296	1.607575329	2.615704274	1.542222753	2.227338003	2.648931324	1	1	0
1	0.5	0.72442191	-2.666287333	1.328355926	0.391516418	0	0	0	0	0.618977082	0.009525444	-1.944772804	0.984002152	2.430846821	2.586930497	5.110231445	5.528109028	1	1	0
1	0.5	2.085958276	0.114149773	0.373647199	-1.47664192	0	0	0	0	0.250789799	0.418491299	-2.422818177	-1.457131514	-0.451178066	1.558017308	-1.041664778	1.555979816	1	1	0
1	0.5	-1.080894404	0.38385204	-0.34607069	-0.176620756	0	0	0	0	0.053517297	0.492851063	0.006683835	1.781372101	-0.232261236	0.264267667	0.588364749	-2.007952207	1	1	1
1	0.5	0.59841641	0.303955057	0.60688383	0.33437936	0	0	0	0	0.287074821	0.937470387	-1.360840046	-0.621657958	0.774827879	2.076898094	1.412900166	3.189299411	1	1	0
1	0.5	0.525284696	0.879059788	-0.067301924	-0.126542534	0	0	0	0	0.745046304	0.710596605	0.811471153	-0.396162874	-0.045766414	0.128059544	-1.830694719	-0.282883158	1	1	0
1	0.5	-0.805114549	-1.028850337	-1.690203209	-0.144841707	0	0	0	0	0.182566087	0.183980023	0.608639703	-0.834944052	1.271851698	2.276298729	0.587079902	3.503743838	1	1	0
1	0.5	-0.279229893	-0.533846536	0.192705813	-0.11138784	0	0	0	0	0.124122019	0.315314273	1.233559916	1.472916821	1.543539703	2.486738755	1.661075061	2.00818102	1	1	0
1	0.5	-0.677735363	-2.093256079	0.260716681	0.952553314	0	0	0	0	0.566364556	0.872020368	1.080407271	-0.372995559	-0.154143136	-0.428334007	-0.50467903	3.029856506	1	1	0
1	0.5	-0.458485963	0.612129494	1.119867044	-0.000579594	0	0	0	0	0.934779609	0.278853243	-0.171018931	-0.058856719	2.689347469	1.258760711	4.307463735	0.679021295	1	1	1
1	0.5	-2.193402358	1.804676472	0.065195608	-0.776622154	0	0	0	0	0.64893443	0.55618123	-1.190591842	0.014178853	0.455300878	0.903677175	4.242832018	-1.499237936	1	1	1
1	0.5	1.290465371	1.921282267	-0.254580385	0.404538254	0	0	0	0	0.259603909	0.19170595	0.535320766	1.890251704	0.021221002	0.219537947	-1.738122385	-2.123085628	1	1	1
1	0.5	-0.706056625	-2.22655431	-0.503188478	-0.882977915	0	0	0	0	0.676077649	0.823410633	-1.375914855	-2.288713567	-0.929819888	6.02063847	1.259295939	11.35406152	1	1	0
1	0.5	0.470917784	0.184495078	-0.310803455	-0.9990337	0	0	0	0	0.263946925	0.70198272	-1.523557712	1.064853823	1.30975227	0.649398231	1.410008642	-1.779390087	1	1	1
1	0.5	-0.969842111	0.026095226	-0.199661341	-0.82708105	0	0	0	0	0.610112144	0.528447842	0.283933994	-1.762619423	1.474222839	0.500448513	1.947855789	1.716947358	1	1	1
1	0.5	0.314448834	-0.906590272	-0.685960441	-0.428795764	0	0	0	0	0.724699942	0.49502641	0.834389632	-1.322445476	-0.075527163	3.097204882	-2.113810563	4.991489204	1	1	0
1	0.5	-1.421385855	0.252577963	-0.205687674	-0.555310542	0	0	0	0	0.166039221	0.555592976	0.274761764	1.208054701	0.621063271	2.083743857	1.796940912	0.072309574	1	1	1
1	0.5	1.801059321	-0.36943336	0.572512808	-0.1139419	0	0	0	0	0.828705278	0.501289822	-0.029020295	1.376725694	0.769634611	2.681090977	-0.553941561	1.584790755	1	1	0
1	0.5	1.466516272	2.633591295	0.480741591	1.940786456	0	0	0	0	0.927263381	0.426286671	0.47309814	2.321387327	1.53512542	0.890718551	-0.448207822	-2.266435854	1	1	1
1	0.5	-0.17671366	-1.382018674	1.811018574	0.373022027	0	0	0	0	0.549356472	0.654908596	-0.791184654	-1.405195919	0.916025587	2.3553791	3.320287999	5.857714068	1	1	0
1	0.5	-0.539024536	0.383469244	0.85995114	-0.40771841	0	0	0	0	0.119766805	0.008528599	-0.751879852	2.748669509	1.0429081	0.993301413	2.406996487	0.257158761	1	1	1
1	0.5	-0.770406619	0.050301839	-0.069396766	-0.480457051	0	0	0	0	0.759907345	0.265001145	-2.41094204	0.308531873	1.230713497	0.884969512	5.613257672	0.310802285	1	1	1
1	0.5	0.23224589	-1.780980553	0.087619125	-0.023993674	0	0	0	0	0.247922249	0.923610917	0.327528245	-1.619291261	0.908465452	0.098861466	0.579530828	4.853036936	1	1	0
